,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
1563,29147,20.51,14.67,0.0,14.64,0.0,1.99,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1564,29149,52.16,3.0,1.74,1.11,0.0,1.57,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1565,29151,13.26,2.99,0.0,46.69,0.0,0.02,0.0,0.0,0.0,0.0,Catholic,Catholic,Catholic,Cath,Cath-High
1566,29153,22.24,2.82,0.0,1.02,0.0,1.74,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1567,29155,50.94,5.27,5.56,0.92,0.0,0.01,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1568,29157,26.0,0.95,0.0,42.08,0.0,0.92,0.0,0.0,0.0,0.0,Catholic,Catholic,Catholic,Cath,Cath-High
1569,29159,33.47,10.02,0.57,6.95,0.0,1.58,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1570,29161,29.04,2.85,0.0,4.05,0.17,2.5,0.54,0.0,0.0,0.04,EP,EP-Less,EP-Less,EP-Less,EP-Least
1571,29163,32.0,5.41,0.43,7.45,0.0,0.85,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1572,29165,11.53,3.38,0.17,10.74,0.0,2.49,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1573,29167,28.65,5.42,1.43,1.35,0.0,2.53,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1574,29169,29.62,1.1,0.96,0.76,0.0,3.01,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1575,29171,45.93,3.63,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1576,29173,21.76,8.949999999999998,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1577,29175,26.33,3.36,1.63,6.21,0.0,2.11,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1578,29177,27.4,6.13,2.33,0.49,0.0,2.64,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
